deposits,poa,jul
1074.507122951685,0,0
1103.6681040522426,0,1
887.6943886924379,1,0
1175.650748361689,1,1
979.2603548243223,0,0
1134.117678955235,0,1
1036.9032015851963,1,0
1215.9728439704545,1,1
1097.1532807151038,0,0
1212.4576864762917,0,1
1048.5928225209846,1,0
1412.0940407684893,1,1
1228.4544784612037,0,0
1208.0703078052354,0,1
979.6584096167571,1,0
1391.5555398150198,1,1
964.8769937914996,0,0
843.3495948064364,0,1
1075.8071432500985,1,0
1296.8647609053778,1,1
964.879456457623,0,0
909.3262440127315,0,1
1160.6076285221807,1,0
1317.5991074963174,1,1
1236.8819223261087,0,0
1127.2552900812989,0,1
1382.9278851815795,1,0
1491.6497343682638,1,1
1115.1152093729363,0,0
1127.0678926368314,0,1
1126.1866719247757,1,0
1211.2642916746256,1,1
929.5788421097571,0,0
1127.2571529459071,0,1
1138.6325586084147,1,0
1382.0646071755057,1,1
1081.3840065378947,0,0
1627.909723598208,0,1
1088.833112635075,1,0
1269.6711021349158,1,1
930.4873460781307,0,0
1135.6335766039751,0,1
812.1843177051438,1,0
1267.3478195159169,1,1
930.1405369644615,0,0
1220.3348460270897,0,1
1096.0229186826175,1,0
1464.8165277980786,1,1
1036.294340734905,0,0
1193.1002645239803,0,1
1109.034531491154,1,0
1423.8124523482045,1,1
713.0079633013303,0,0
1147.7086876958697,0,1
1469.486316872793,1,0
1422.0264454000958,1,1
741.2623251230451,0,0
1002.7096133039481,0,1
1071.1458552828317,1,0
1495.8218210731493,1,1
915.656870613854,0,0
1163.84538307399,0,1
1145.2321013500418,1,0
1303.150576244914,1,1
848.0753319498365,0,0
934.0762178193643,0,1
1094.7932345442134,1,0
1402.2929456942445,1,1
1047.137099889291,0,0
1014.4772089889987,0,1
924.6982943570702,1,0
1253.4599865109817,1,1
863.7963886718184,0,0
977.1954678256345,0,1
1271.423422177253,1,0
1348.6249528732662,1,1
788.1544447997062,0,0
1062.2811209079484,0,1
1212.7899549030162,1,0
1280.4785418448473,1,1
1219.847315338233,0,0
1397.1987850010264,0,1
1218.654792056457,1,0
1314.5493947489076,1,1
966.1335549270196,0,0
769.9102211112378,0,1
963.5918817807892,1,0
1389.273553815537,1,1
1010.1292307031886,0,0
1152.939028556177,0,1
1310.419146640415,1,0
1177.266897514979,1,1
786.2877720679815,0,0
808.0926193215522,0,1
889.7223405811578,1,0
1613.858091352819,1,1
918.3425913212226,0,0
979.210220131585,0,1
1188.0285640700406,1,0
1149.0973927750447,1,1
1016.6383884564799,0,0
1213.342589545105,0,1
1428.5683438714968,1,0
1117.87170808184,1,1
827.3509633866546,0,0
1059.6420028643195,0,1
951.4195512303968,1,0
1473.7166310250102,1,1
1056.3547027518507,0,0
888.3382833106041,0,1
1015.0553405595842,1,0
1418.7494040944405,1,1
909.9041965121793,0,0
942.7044436110048,0,1
1114.9477047631462,1,0
1393.6179725578234,1,1
956.2459375310085,0,0
1151.9396623402013,0,1
1024.4786518825701,1,0
1394.251826389642,1,1
909.7440081655905,0,0
940.4450052424295,0,1
867.4004853400801,1,0
1298.162984072963,1,1
1277.8417276763407,0,0
1082.4687884372963,0,1
1110.284446220904,1,0
1165.4118442771253,1,1
997.9754162893099,0,0
1056.8357759855721,0,1
940.6544429410843,1,0
1311.370683729059,1,1
841.343360656615,0,0
952.2599478591275,0,1
1171.0388645952773,1,0
1198.4257432731833,1,1
1123.3817368154785,0,0
1371.591613398799,0,1
962.0863648649295,1,0
1446.2679600126626,1,1
816.8734525043467,0,0
1145.0878533477016,0,1
1332.490160752631,1,0
1277.9413927746791,1,1
1031.3295392507134,0,0
746.2286120013589,0,1
982.5120061495644,1,0
1176.1754204811232,1,1
706.0494814180337,0,0
1077.968147215414,0,1
1051.6907725691487,1,0
1251.7921237520509,1,1
800.7720926652354,0,0
950.7320302847418,0,1
1222.0275826054506,1,0
1361.9397181413437,1,1
1029.5291853803685,0,0
1177.8650002194336,0,1
915.3703525349067,1,0
1215.4413170794037,1,1
1110.7699869993116,0,0
931.121889235095,0,1
1134.1189901906193,1,0
1176.6669406650353,1,1
1025.7052421784956,0,0
1032.789533779965,0,1
1296.0714131423642,1,0
1336.5530817237868,1,1
